facilityid,name,city,county,state,zip,capacity,type,securelvl,status,flood_risk_rating,flood_risk,confidence,latitude,longitude
10001789,Carteret County Detention Facility,Beaufort,Carteret,NC,28516,117,County,Not Available,Open,6,Major,Medium-High,34.7194389927757,-76.6620179995252
10005500,Caswell County Detention Center,Yanceyville,Caswell,NC,27379,108,County,Not Available,Open,1,Minimal,High,36.4067169820921,-79.3355799928939
10004187,Catawba County Detention Facility / Justice Center,Newton,Catawba,NC,28658,268,County,Maximum,Open,1,Minimal,Medium-High,35.6624170139723,-81.2325630156475
10005513,Chatham County Detention Center,Pittsboro,Chatham,NC,27312,NA,County,Not Available,Open,1,Minimal,High,35.7406169854759,-79.2658530358532
10005502,Chowan Law Enforcement Center,Edenton,Chowan,NC,27932,NA,County,Not Available,Open,1,Minimal,High,36.0655130055107,-76.6115590262281
10005512,Davidson County Detention Facility,Lexington,Davidson,NC,27292,283,County,Not Available,Open,1,Minimal,Medium-High,35.8264700117644,-80.2544199769639
10005510,Davie County Detention Center,Mocksville,Davie,NC,27028,72,County,Not Available,Open,1,Minimal,High,35.8819709931882,-80.5923199749516
10001762,Durham County Detention Facility,Durham,Durham,NC,27701,736,County,Maximum,Open,1,Minimal,High,35.9927769871395,-78.9008020418234
10004144,Hertford County Detention Center,Winton,Hertford,NC,27986,92,County,Medium,Open,1,Minimal,High,36.3977239962657,-76.9355670255309
10005507,Nash County Detention Facility,Nashville,Nash,NC,27856,296,County,Not Available,Open,6,Major,High,35.9761140150838,-77.967698992215
10004150,Dillon Regional Juvenile Detention Center,Butner,Granville,NC,27509,90,State,Juvenile,Closed,1,Minimal,High,36.1474699974747,-78.7912809936289
10005526,Cherokee County Jail,Murphy,Cherokee,NC,28906,150,County,Maximum,Open,1,Minimal,High,35.1017919951593,-84.0287090018525
10005505,Avery County Jail / Sheriff,Newland,Avery,NC,28657,62,County,Not Available,Open,1,Minimal,High,36.0865629818693,-81.9266909649254
10004143,Odom Correctional Institution,Jackson,Northampton,NC,27845,352,State,Minimum,Open,1,Minimal,High,36.3902219,-77.4228097
10004146,Warren Correctional Institution,Manson,Warren,NC,27553,809,State,Close,Open,1,Minimal,High,36.4164309792297,-78.271424965128
10005503,Chowan County Jail,Edenton,Chowan,NC,27932,23,County,Not Available,Open,3,Moderate,High,36.0605980917852,-76.6069356453409
10001794,Robeson Crv Center,Lumberton,Robeson,NC,28360,192,State,Minimum,Open,1,Minimal,High,34.6258669755984,-79.0726949381619
10001024,Cleveland Correctional Center,Shelby,Cleveland,NC,28152,142,State,Medium,Closed,1,Minimal,Medium,35.2834393123824,-81.4873093447971
10004161,High Point Detention Center,High Point,Guilford,NC,27260,274,County,Not Available,Open,7,Severe,Medium-High,35.9550670143008,-79.9979370087376
10004227,Wilmington Residential Facility For Women,Wilmington,New Hanover,NC,28403,36,State,Minimum,Closed,1,Minimal,High,34.2378810114404,-77.9028109916965
10004182,Randolph County Jail,Asheboro,Randolph,NC,27205,195,County,Not Available,Open,1,Minimal,Medium,35.6674753464452,-79.8319851714621
10004224,Robeson County Jail,Lumberton,Robeson,NC,28358,420,County,Not Available,Open,1,Minimal,High,34.5872819864132,-79.0517389956171
10004212,Sampson County Detention Center,Clinton,Sampson,NC,28328,300,County,Maximum,Open,1,Minimal,High,34.9924680055084,-78.3029160268153
10004154,Wilkes County Female Detention Center,North Wilkesboro,Wilkes,NC,28659,NA,County,Not Available,Closed,1,Minimal,High,36.1728089546513,-81.1390236675998
10006129,Pamlico County Jail,Bayboro,Pamlico,NC,28515,108,County,Not Available,Open,6,Major,High,35.1435399917623,-76.7701599731902
10005525,Macon County Detention Center,Franklin,Macon,NC,28734,75,County,Not Available,Open,1,Minimal,Medium-High,35.1977760182683,-83.3718490057494
10005514,Wilson County Detention Center,Wilson,Wilson,NC,27894,296,County,Not Available,Open,1,Minimal,Medium-High,35.7262719868339,-77.909794039051
10005497,Alleghany County Jail,Sparta,Alleghany,NC,28675,76,County,Not Available,Open,1,Minimal,High,36.5066819901144,-81.1203160049023
10005529,Hoke County Detention Center,Raeford,Hoke,NC,28376,215,County,Not Available,Open,1,Minimal,High,34.9808700079941,-79.2228660263228
10001020,Umstead Correctional Center,Butner,Granville,NC,27509,114,State,Minimum,Closed,1,Minimal,High,36.1291642119091,-78.7693142140105
10006122,Yancey County Detention Center,Burnsville,Yancey,NC,28714,45,County,Not Available,Open,1,Minimal,High,35.9171087305561,-82.2988092746304
10005506,Alamance County Detention Center,Graham,Alamance,NC,27253,396,County,Not Available,Open,1,Minimal,High,36.0685340110532,-79.402803023999
10006121,Albemarle District Jail,Elizabeth City,Pasquotank,NC,27909,248,County,Not Available,Open,5,Major,High,36.3574940042372,-76.3070839626282
10006433,Alexander County Law Enforcement Center,Taylorsville,Alexander,NC,28681,164,County,Not Available,Open,1,Minimal,Medium,35.9082869840359,-81.1821290204218
10001791,Anson County Jail,Wadesboro,Anson,NC,28170,60,County,Not Available,Open,1,Minimal,High,34.9669850081983,-80.0758659933116
10005496,Ashe County Jail,Jefferson,Ashe,NC,28640,165,County,Not Available,Open,10,Extreme,High,36.4185399917972,-81.4603640332168
10005515,Beaufort County Detention Center,Washington,Beaufort,NC,27889,85,County,Not Available,Open,5,Major,High,35.5437969907857,-77.0548600317235
10004228,Brunswick County Detention Center,Bolivia,Brunswick,NC,28422,444,County,Not Available,Open,1,Minimal,Medium-High,34.0588870197809,-78.1639729897324
10002641,Buncombe County Detention Center,Asheville,Buncombe,NC,28801,604,County,Maximum,Open,1,Minimal,High,35.5961040060949,-82.5477650121542
10002637,Burke-Catawba District Confinement Facility,Morganton,Burke,NC,28655,176,County,Not Available,Open,1,Minimal,High,35.7210149828908,-81.6804469943421
10002636,Burke County Jail (Downtown Jail),Morganton,Burke,NC,28655,66,County,Not Available,Open,1,Minimal,High,35.7454880027778,-81.6852420296917
10001785,Cabarrus County Jail,Concord,Cabarrus,NC,28025,665,County,Not Available,Open,1,Minimal,High,35.4091500143563,-80.5779519679853
10002635,Caldwell County Detention Center,Lenoir,Caldwell,NC,28645,185,County,Not Available,Open,1,Minimal,Medium-High,35.8908320059492,-81.5709159716828
10002642,Cleveland County Law Enforcement Detention Center,Shelby,Cleveland,NC,28150,NA,County,Not Available,Open,1,Minimal,High,35.2907799814319,-81.5354880138931
10002643,Cleveland County Detention Center,Shelby,Cleveland,NC,28150,NA,County,Not Available,Open,1,Minimal,High,35.2865959868238,-81.5443099669853
10001800,Columbus County Jail,Whiteville,Columbus,NC,28472,192,County,Not Available,Open,1,Minimal,Medium-High,34.336745014571,-78.7190159963067
10006128,Craven County Jail,New Bern,Craven,NC,28563,292,County,Maximum,Open,1,Minimal,High,35.1329090144173,-77.1829869771297
10004214,Cumberland County Detention Center,Fayetteville,Cumberland,NC,28301,884,County,Not Available,Open,6,Major,High,35.0498710084007,-78.8804569835218
10005498,Currituck County Jail,Maple,Currituck,NC,27956,62,County,Not Available,Open,1,Minimal,High,36.399554017186,-76.0194799937398
10005528,Duplin County Jail,Kenansville,Duplin,NC,28349,97,County,Not Available,Open,1,Minimal,High,34.9634840129705,-77.9620840390968
10004158,Bridges Juvenile Crisis & Assessment Center,Winston-Salem,Forsyth,NC,27105,16,County,Juvenile,Open,1,Minimal,Medium,36.172691018401,-80.2783700080022
10005499,Granville County Detention Center,Oxford,Granville,NC,27565,87,County,Not Available,Open,1,Minimal,High,36.3125509937818,-78.5878589929025
10005517,Greene County Sheriff's Department,Snow Hill,Greene,NC,28580,96,County,Not Available,Open,1,Minimal,High,35.4553589855579,-77.6698889665631
10001757,Greensboro Detention Center,Greensboro,Guilford,NC,27401,1032,County,Maximum,Open,1,Minimal,High,36.0713470196684,-79.7955670206787
10004162,Guilford County Sheriff's Prison Farm,Elon,Guilford,NC,27244,134,County,Minimum,Closed,1,Not Available,Low,36.1440979997367,-79.5442229972893
10001758,Guilford County Juvenile Detention Center,Greensboro,Guilford,NC,27409,44,County,Juvenile,Open,1,Minimal,High,36.0842259815355,-79.9400879628677
10004152,Halifax County Jail,Halifax,Halifax,NC,27839,85,County,Not Available,Open,1,Minimal,Medium,36.3217194468751,-77.5910473857079
10004196,Harnett County Jail,Lillington,Harnett,NC,27546,300,County,Maximum,Open,1,Minimal,Medium,35.4170979864044,-78.8092579966454
10004207,Henderson County Detention Center,Hendersonville,Henderson,NC,28792,222,County,Not Available,Open,1,Minimal,Medium-High,35.3158249823916,-82.4560389958583
10004191,Johnston County Detention Center,Smithfield,Johnston,NC,27577,191,County,Not Available,Open,1,Minimal,High,35.5114462735326,-78.3476027309416
10005516,Hyde County Sheriff's Office,Swan Quarter,Hyde,NC,27885,32,County,Not Available,Open,9,Extreme,High,35.4208180007622,-76.318645037859
10004175,Iredell County Detention Center,Statesville,Iredell,NC,28687,277,County,Maximum,Open,1,Minimal,High,35.788200002065,-80.8861210201337
10004200,Mecklenburg County Jail North,Charlotte,Mecklenburg,NC,28269,722,County,Medium,Open,1,Minimal,High,35.314933986084,-80.8460700236475
10001783,Lincoln County Detention Center,Lincolnton,Lincoln,NC,28092,168,County,Not Available,Open,1,Minimal,Medium-High,35.4892349920651,-81.2375690235
10005509,Martin County Detention Center,Williamston,Martin,NC,27892,NA,County,Not Available,Not Available,1,Minimal,Medium-High,35.8563859881164,-77.0517439753989
10005521,Montgomery County Detention Center,Troy,Montgomery,NC,27371,106,County,Maximum,Open,1,Minimal,Medium-High,35.3789239914058,-79.8782290145188
10004198,Moore County Jail,Carthage,Moore,NC,28327,272,County,Not Available,Open,1,Minimal,Medium,35.3421890015445,-79.4201020148676
10001803,New Hanover County Detention Center,Castle Hayne,New Hanover,NC,28429,672,County,Not Available,Open,1,Minimal,High,34.3224319956341,-77.8926165602975
10006120,Northampton County Detention Center,Jackson,Northampton,NC,27845,92,County,Not Available,Open,1,Minimal,High,36.3894769998218,-77.4198749835695
10004164,Orange County Detention Center,Hillsborough,Orange,NC,27278,129,County,Not Available,Open,1,Minimal,High,36.0748949954635,-79.0983759887043
10006132,Pender County Jail,Burgaw,Pender,NC,28425,92,County,Not Available,Open,1,Minimal,High,34.552315997217,-77.9250829657191
10004151,Person County Jail,Roxboro,Person,NC,27573,135,County,Not Available,Open,1,Minimal,High,36.3952409831785,-78.9854770335301
10004186,Pitt County Detention Center,Greenville,Pitt,NC,27834,596,County,Maximum,Open,3,Moderate,Medium,35.6394449833964,-77.3623199748631
10006130,Richmond County Jail,Rockingham,Richmond,NC,28379,72,County,Not Available,Open,1,Minimal,High,34.9370996994337,-79.7732193785995
10004149,Rockingham County Detention Center,Reidsville,Rockingham,NC,27320,232,County,Not Available,Open,1,Minimal,Medium,36.3852490002221,-79.7486270217917
10001772,Rowan County Detention Center,Salisbury,Rowan,NC,28144,210,County,Maximum,Open,1,Minimal,High,35.6696959844184,-80.4687040021963
10006119,Stokes County Jail,Danbury,Stokes,NC,27016,68,County,Not Available,Open,1,Minimal,Medium-High,36.4141249919376,-80.2165070363397
10006125,Swain County Jail / Sheriff,Bryson City,Swain,NC,28713,109,County,Not Available,Open,1,Minimal,High,35.4171279936177,-83.4532419794487
10006126,Transylvania County Detention Center,Brevard,Transylvania,NC,28712,128,County,Not Available,Open,1,Minimal,High,35.2643502040183,-82.7122918812576
10004217,Union County Jail,Monroe,Union,NC,28112,264,County,Not Available,Open,1,Minimal,High,34.9773310008353,-80.4660509622032
10004147,Vance County Jail,Henderson,Vance,NC,27536,150,County,Not Available,Open,1,Minimal,High,36.3304419984717,-78.4069959625634
10006819,Rowan County Detention Annex,Salisbury,Rowan,NC,28145,160,County,Medium,Open,1,Minimal,High,35.6176069824107,-80.5397729857544
10004172,Wake County Detention Center,Raleigh,Wake,NC,27603,NA,County,Maximum,Open,1,Minimal,High,35.7342109902456,-78.6390180227528
10001746,Warren County Detention Facility,Warrenton,Warren,NC,27589,37,County,Not Available,Open,1,Minimal,High,36.3937179913715,-78.1348169586318
10004155,Wilkes County Jail - Old,Wilkesboro,Wilkes,NC,28697,NA,County,Not Available,Closed,1,Minimal,High,36.1494889884021,-81.1519150255024
10001790,Anson Ci - Female,Polkton,Anson,NC,28135,1850,State,Close,Open,1,Minimal,High,34.9867170141017,-80.1817910374057
10006820,Wilkes County Jail,Wilkesboro,Wilkes,NC,28697,240,County,Not Available,Open,1,Minimal,High,36.1416063999193,-81.1504884063313
10001776,Maury Correctional Institution,Hookerton,Greene,NC,28538,1504,State,Close,Open,9,Extreme,High,35.4480249879174,-77.6079069718755
10004222,Onslow County Detention Center,Jacksonville,Onslow,NC,28540,528,County,Not Available,Open,1,Minimal,High,34.7516169933377,-77.4312120105285
10004221,Scotland County Jail,Laurinburg,Scotland,NC,28352,109,County,Not Available,Open,6,Major,High,34.7753159863759,-79.4597500094491
10004195,Wayne County Detention Center,Goldsboro,Wayne,NC,27530,200,County,Maximum,Open,1,Minimal,High,35.3815119878303,-77.9943940127242
10005519,Jackson County Jail,Sylva,Jackson,NC,28779,72,County,Not Available,Open,1,Minimal,Medium-High,35.3796830146479,-83.2249350302038
10005518,Lee County Sheriff's Department,Sanford,Lee,NC,27331,126,County,Not Available,Open,1,Minimal,High,35.4675290060544,-79.1638440169226
10006131,Clay County Jail,Hayesville,Clay,NC,28904,52,County,Not Available,Open,1,Minimal,Medium-High,35.0412490056088,-83.8291850051979
10004176,Alexander Regional Juvenile Detention Center,Taylorsville,Alexander,NC,28681,24,State,Juvenile,Open,1,Minimal,High,35.9082799851467,-81.1783809685979
10006123,Madison County Jail / Sheriff / Juvenile Detention Center,Marshall,Madison,NC,28753,68,County,Not Available,Open,6,Major,High,35.8044610199539,-82.6532250282603
10005523,Lenoir County Jail / Sheriff,Kinston,Lenoir,NC,28502,285,County,Not Available,Open,1,Minimal,High,35.2592299949654,-77.5805650360792
10004142,Surry County Detention Center,Dobson,Surry,NC,27017,149,County,Not Available,Open,1,Minimal,Medium-High,36.3971370115863,-80.7222669668134
10001744,Gates Correctional Center,Gatesville,Gates,NC,27938,96,State,Minimum,Closed,1,Minimal,High,36.4374538543418,-76.7240153522176
10004215,Cumberland Regional Juvenile Detention Center,Fayetteville,Cumberland,NC,28306,18,State,Juvenile,Open,1,Minimal,High,35.0169569929209,-78.8907780399969
10005501,Watauga County Detention Center,Boone,Watauga,NC,28607,106,County,Not Available,Open,9,Extreme,High,36.2193389917814,-81.7090960041197
10001755,Franklin County Detention Center,Louisburg,Franklin,NC,27549,176,County,Not Available,Open,1,Minimal,High,36.0944099938937,-78.319566006921
10001780,Fpc Seymour Johnson,Goldsboro,Wayne,NC,27531,NA,Federal,Minimum,Closed,9,Extreme,Medium,35.3532889819657,-77.971172201303
10001767,John H Baker Jr. Public Safety Center,Raleigh,Wake,NC,27602,NA,County,Not Available,Open,1,Minimal,High,35.7763220070751,-78.6411699925741
10004169,Edgecombe County Detention Center,Tarboro,Edgecombe,NC,27886,255,County,Not Available,Open,7,Severe,Medium,35.9104830007583,-77.5903899677053
10004163,Dare County Jail,Manteo,Dare,NC,27954,133,County,Not Available,Open,2,Low,High,35.9190248488884,-75.6904220243623
10004178,North Piedmont Correctional Center For Women,Lexington,Davidson,NC,27292,136,State,Minimum,Closed,1,Minimal,High,35.8143838882401,-80.2324529768774
10004199,Gatling Juvenile Center,Huntersville,Mecklenburg,NC,28070,30,County,Juvenile,Closed,1,Minimal,High,35.4100353478619,-80.8549287590229
10004202,Mecklenburg County Work Release / Restitution Ctr,Charlotte,Mecklenburg,NC,28204,160,County,Minimum,Closed,1,Minimal,High,35.2202359983792,-80.8344640214157
10004180,Mcdowell County Jail,Marion,Mcdowell,NC,28752,133,County,Not Available,Open,1,Minimal,Medium-High,35.6639079869091,-82.0313260341209
